head_cam_distance,gaze_distance,face_detection_confidence,engagement
3.614416307594616455e+02,1.647604889957505065e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.649100093732801042e+02,1.637108868644918971e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.639864844480574106e+02,1.795465585105351920e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.637629580626352208e+02,1.928920042957823853e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.654303575150759684e+02,1.596537263461521832e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.687762338022826611e+02,1.587947701844846904e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.711086343570491977e+02,1.704283351526077013e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.699586514610541599e+02,1.692502349769118553e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.628347973743765351e+02,1.014845038040219549e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.623435690988602573e+02,9.131396635287271124e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.625523787178380530e+02,9.651477623359446056e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.718985267779654578e+02,2.063743083280554060e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.848728902330008736e+02,1.991033259407467995e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.830333405145659640e+02,1.600358847203554262e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.848651881197503144e+02,1.660309212922298912e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.875785533238043286e+02,2.105542987476195549e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.819234038489701675e+02,2.382010244354620454e+02,9.050000000000000266e-01,1.000000000000000000e+00
3.674434988518817136e+02,1.067229712831373263e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.602945224399406356e+02,1.296583089822149191e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.360432619784733674e+02,1.319431475541840655e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.033035908876744884e+02,1.094178383571325810e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.968161425675522764e+02,1.056061951836161228e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.893586918189183734e+02,1.033201833867799166e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.930097176326958106e+02,1.009874592087492999e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.935862767303855208e+02,7.804244692931501959e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.963882230661386075e+02,7.808298755760881704e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.958806345339723407e+02,8.619829200828917237e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.937692384234628094e+02,9.453520768602516000e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.797776458020190375e+02,1.347549800995302576e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.826533660553058098e+02,1.550988059434889692e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.878287381098936066e+02,1.751400507573089271e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.706961195921562648e+02,1.591136126037377210e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.718264993721049905e+02,1.439028910363253999e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.954302233473415527e+02,1.510607864162545866e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.020513804879047939e+02,1.454193434699895988e+02,9.050000000000000266e-01,1.000000000000000000e+00
3.177130354582960194e+02,1.055344349497249965e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.469690970903066045e+02,8.171787374944683791e+01,9.799999999999999822e-01,1.000000000000000000e+00
